學校名稱,種類,宗教,性別,語言,收生,地區
宣道會陳瑞芝紀念中學,資助,基督教,男女,英中,BAND 1,屯門區
保良局百周年李兆忠紀念中學,資助,無,男女,英中,BAND 1,屯門區
保良局董玉娣中學,資助,無,男女,英中,BAND 1,屯門區
順德聯誼總會梁銶琚中學,資助,無,男女,英中,BAND 1,屯門區
順德聯誼總會譚伯羽中學,資助,無,男女,中中,BAND 1,屯門區
馬可賓紀念中學,資助,基督教,男女,英中,BAND 1,屯門區
仁愛堂田家炳中學,資助,無,男女,英中,BAND 1,屯門區
屯門官立中學,官立,無,男女,英中,BAND 1,屯門區
路德會呂祥光中學,資助,基督教,男女,中中,BAND 2,屯門區
妙法寺劉金龍中學,資助,佛教,女校,英中,BAND 2,屯門區
南屯門官立中學,官立,無,男女,英中,BAND 2,屯門區
屯門天主教中學,資助,天主教,男女,英中,BAND 2,屯門區
浸信會永隆中學,資助,基督教,男女,中中,BAND 2,屯門區
宣道中學,資助,基督教,男女,中中,BAND 2,屯門區
崇真書院,資助,基督教,男女,中中,BAND 2,屯門區
東華三院辛亥年總理中學,資助,無,男女,中中,BAND 2,屯門區
迦密唐賓南紀念中學,資助,基督教,男女,中中,BAND 2,屯門區
香海正覺蓮社佛教梁植偉中學,資助,佛教,男女,中中,BAND 2,屯門區
新生命教育協會平安福音中學,資助,基督教,男女,中中,BAND 2,屯門區
佛教沈香林紀念中學,資助,佛教,男女,中中,BAND 3,屯門區
中華基督教會何福堂書院,資助,基督教,男女,中中,BAND 3,屯門區
屯門裘錦秋中學,資助,無,男女,中中,BAND 3,屯門區
聖公會聖西門呂明才中學,資助,基督教,男女,中中,BAND 3,屯門區
東華三院邱子田紀念中學,資助,無,男女,中中,BAND 3,屯門區
仁濟醫院第二中學,資助,無,男女,中中,BAND 3,屯門區
仁愛堂陳黃淑芳紀念中學,資助,無,男女,中中,BAND 3,屯門區
譚李麗芬紀念中學,資助,基督教,男女,中中,BAND 3,屯門區
青松侯寶垣中學,資助,道教,男女,中中,BAND 3,屯門區
可藝中學,資助,儒釋道,男女,中中,BAND 3,屯門區
新會商會中學,資助,無,男女,中中,BAND 3,屯門區
深培中學,資助,基督教,男女,中中,BAND 3,屯門區
恩平工商會李琳明中學,資助,無,男女,中中,BAND 3,屯門區
明愛屯門馬登基金中學,資助,天主教,男女,中中,BAND 3,屯門區
鐘聲慈善社胡陳金枝中學,資助,無,男女,中中,BAND 3,屯門區
廠商會蔡章閣中學,資助,無,男女,中中,BAND 3,屯門區
加拿大神召會嘉智中學,資助,基督教,男女,中中,BAND 3,屯門區
新界鄉議局元朗區中學,官立,無,男女,英中,BAND 1,元朗區
天主教崇德英文書院,資助,天主教,男女,英中,BAND 1,元朗區
元朗信義中學,資助,基督教,男女,英中,BAND 1,元朗區
趙聿修紀念中學,官立,無,男女,英中,BAND 1,元朗區
中華基督教會基元中學,資助,基督教,男女,英中,BAND 1,元朗區
香港青年協會李兆基書院,直資,無,男女,英中,BAND 1,元朗區
聖公會白約翰會督中學,資助,基督教,男女,英中,BAND 1,元朗區
香港管理專業協會羅桂祥中學,資助,無,男女,英中,BAND 1,元朗區
東華三院盧幹庭紀念中學,資助,無,男女,英中,BAND 1,元朗區
元朗商會中學,資助,無,男女,英中,BAND 1,元朗區
中華基督教會基朗中學,資助,基督教,男女,中中,BAND 2,元朗區
伊利沙伯中學舊生會中學,資助,無,男女,中中,BAND 2,元朗區
順德聯誼總會翁祐中學,資助,無,男女,中中,BAND 2,元朗區
十八鄉鄉事委員會公益社中學,資助,無,男女,中中,BAND 2,元朗區
中華基督教青年會中學,直資,基督教,男女,英中,BAND 2,元朗區
元朗裘錦秋中學,資助,無,男女,中中,BAND 2,元朗區
博愛醫院鄧佩瓊紀念中學,資助,無,男女,中中,BAND 2,元朗區
天水圍官立中學,官立,無,男女,中中,BAND 2,元朗區
鄧兆棠中學,資助,無,男女,中中,BAND 2,元朗區
張煊昌中學,資助,無,男女,中中,BAND 2,元朗區
金巴崙長老會耀道中學,資助,基督教,男女,中中,BAND 2,元朗區
宏信書院,直資,基督教,男女,英中,BAND 2,元朗區
天水圍循道衞理中學,資助,基督教,男女,中中,BAND 2,元朗區
元朗公立中學,官立,無,男女,英中,BAND 2,元朗區
天水圍香島中學,直資,無,男女,中中,BAND 3,元朗區
伯特利中學,資助,基督教,男女,中中,BAND 3,元朗區
中華基督教會方潤華中學,資助,基督教,男女,中中,BAND 3,元朗區
路德會西門英才中學,資助,基督教,男女,中中,BAND 3,元朗區
可道中學,資助,儒釋道,男女,中中,BAND 3,元朗區
東華三院馬振玉紀念中學,資助,無,男女,中中,BAND 3,元朗區
萬鈞伯裘書院,直資,無,男女,中中,BAND 3,元朗區
陳呂重德紀念中學,資助,佛教,男女,中中,BAND 3,元朗區
天主教培聖中學,資助,天主教,男女,中中,BAND 3,元朗區
湯國華中學,資助,無,男女,中中,BAND 3,元朗區
賽馬會萬鈞毅智書院,資助,無,男女,中中,BAND 3,元朗區
元朗天主教中學,資助,天主教,男女,中中,BAND 3,元朗區
佛教茂峰法師紀念中學,資助,佛教,男女,中中,BAND 3,元朗區
明愛元朗陳震夏中學,資助,天主教,男女,中中,BAND 3,元朗區
東華三院郭一葦中學,資助,無,男女,中中,BAND 3,元朗區
荃灣官立中學,官立,無,男女,英中,BAND 1,荃灣區
可風中學,資助,儒釋道,男女,英中,BAND 1,荃灣區
何傳耀紀念中學,資助,無,男女,英中,BAND 1,荃灣區
王少清中學,資助,無,男女,英中,BAND 1,荃灣區
廖寶珊紀念書院,資助,無,男女,中中,BAND 2,荃灣區
保良局李城璧中學,資助,無,男女,中中,BAND 2,荃灣區
梁省德中學,資助,無,男女,中中,BAND 2,荃灣區
荃灣聖芳濟中學,資助,天主教,男校,中中,BAND 2,荃灣區
保良局姚連生中學,資助,無,男女,中中,BAND 3,荃灣區
胡漢輝中學,資助,無,男女,中中,BAND 3,荃灣區
仁濟醫院林百欣中學,資助,無,男女,中中,BAND 3,荃灣區
路德會呂明才中學,資助,基督教,男女,中中,BAND 3,荃灣區
聖公會李炳中學,資助,基督教,男女,中中,BAND 3,荃灣區
佛教善德英文中學,資助,佛教,男女,英中,BAND 1,葵青區
天主教母佑會蕭明中學,資助,天主教,女校,英中,BAND 1,葵青區
聖公會林護紀念中學,資助,基督教,男女,英中,BAND 1,葵青區
中華傳道會安柱中學,資助,基督教,男女,英中,BAND 1,葵青區
保祿六世書院,資助,天主教,女校,英中,BAND 1,葵青區
順德聯誼總會李兆基中學,資助,無,男女,英中,BAND 1,葵青區
東華三院陳兆民中學,資助,無,男女,英中,BAND 1,葵青區
中華基督教會全完中學,資助,基督教,男女,英中,BAND 1,葵青區
保良局羅傑承(一九八三)中學,資助,無,男女,英中,BAND 1,葵青區
迦密愛禮信中學,資助,基督教,男女,中中,BAND 2,葵青區
樂善堂顧超文中學,資助,無,男女,中中,BAND 2,葵青區
東華三院伍若瑜夫人紀念中學,資助,無,男女,中中,BAND 2,葵青區
東華三院吳祥川紀念中學,資助,無,男女,英中,BAND 2,葵青區
荔景天主教中學,資助,天主教,男女,中中,BAND 2,葵青區
中華傳道會李賢堯紀念中學,資助,基督教,男女,中中,BAND 2,葵青區
葵涌蘇浙公學,資助,無,男女,中中,BAND 2,葵青區
石籬天主教中學,資助,天主教,男女,中中,BAND 2,葵青區
中華基督教會燕京書院,資助,基督教,男女,中中,BAND 2,葵青區
葵涌裘錦秋中學,資助,無,男女,中中,BAND 2,葵青區
樂善堂梁植偉紀念中學,資助,無,男女,中中,BAND 2,葵青區
皇仁舊生會中學,資助,無,男女,中中,BAND 2,葵青區
佛教葉紀南紀念中學,資助,佛教,男女,中中,BAND 3,葵青區
圓玄學院第一中學,資助,道教,男女,中中,BAND 3,葵青區
葵涌循道中學,資助,基督教,男女,中中,BAND 3,葵青區
天主教慈幼會伍少梅中學,資助,天主教,男校,中中,BAND 3,葵青區
陳南昌紀念中學,資助,無,男女,中中,BAND 3,葵青區
嶺南鍾榮光博士紀念中學,資助,基督教,男女,中中,BAND 3,葵青區
獅子會蔣翠琼中學,資助,無,男女,中中,BAND 3,葵青區
李惠利中學,資助,基督教,男女,中中,BAND 3,葵青區
明愛聖若瑟中學,資助,天主教,男女,中中,BAND 3,葵青區
棉紡會中學,資助,無,男女,中中,BAND 3,葵青區
黃楚標中學,資助,無,男女,中中,BAND 2,離島區
保良局馬錦明夫人章馥仙中學,資助,無,男女,英中,BAND 2,離島區
港青基信書院,直資,基督教,男女,英中,BAND 2,離島區
可譽中學,資助,儒釋道,男女,中中,BAND 2,離島區
靈糧堂怡文中學,資助,基督教,男女,中中,BAND 2,離島區
明愛胡振中書院,資助,天主教,男女,中中,BAND 3,離島區
長洲官立中學,官立,無,男女,中中,BAND 3,離島區
東涌天主教學校,資助,天主教,男女,中中,BAND 3,離島區
佛教筏可紀念中學,直資,佛教,男女,英中,BAND 3,離島區
