subregion.name,Count,"price
mean","price
median","net_area
mean","net_area
median","price_over_net_area
mean","price_over_net_area
median","mtr_walking_time_seconds
mean"
西貢,4460,"HK$8,934,287.00","HK$7,555,000.00",606.83,540,"HK$15,113.13","HK$14,764.50",423.9
元朗,4248,"HK$6,767,943.74","HK$5,565,000.00",605.61,521,"HK$11,344.63","HK$11,067.00",561.75
沙田,3476,"HK$9,623,499.42","HK$7,120,000.00",659.62,546,"HK$14,604.64","HK$14,041.50",672.51
屯門,2380,"HK$5,552,915.55","HK$4,500,000.00",498.99,445,"HK$11,301.96","HK$10,654.50",499.96
大埔,1591,"HK$10,735,137.02","HK$8,000,000.00",774.18,586,"HK$13,875.76","HK$13,428.00",396.9
荃灣,1563,"HK$7,928,181.96","HK$6,500,000.00",590.04,531,"HK$13,182.14","HK$12,105.00",398.74
北區,1198,"HK$7,005,786.31","HK$4,645,000.00",614.76,454,"HK$11,409.73","HK$10,904.00",469.29
葵青,902,"HK$5,498,832.59","HK$5,300,000.00",488.55,460,"HK$12,644.81","HK$12,329.00",383.51
離島,605,"HK$9,450,271.07","HK$7,000,000.00",793.49,646,"HK$11,673.07","HK$11,401.00",599.61
