"Year","District","Accidents"
2020,"大埔",1074
2020,"元朗",1571
2020,"屯門",754
2020,"北區",690
2020,"西貢",725
2020,"沙田",1403
2020,"荃灣",926
2020,"葵青",858
2020,"離島",322
2021,"大埔",1211
2021,"元朗",1859
2021,"屯門",944
2021,"北區",812
2021,"西貢",803
2021,"沙田",1617
2021,"荃灣",962
2021,"葵青",973
2021,"離島",365
2022,"大埔",900
2022,"元朗",1384
2022,"屯門",687
2022,"北區",645
2022,"西貢",682
2022,"沙田",1455
2022,"荃灣",941
2022,"葵青",896
2022,"離島",361
2023,"大埔",NA
2023,"元朗",776
2023,"屯門",369
2023,"北區",NA
2023,"西貢",139
2023,"沙田",574
2023,"荃灣",992
2023,"葵青",NA
2023,"離島",NA
